ケースID,大分類,テスト観点,テスト技法,前提条件,テスト手順,期待結果,実行結果,判定
TC-B-007,関数(統計),COUNT は数値のみ数える,同値分割,"A1=1,A2=abc,A3=3",0,2,2,PASS
TC-B-008,関数(統計),COUNTA は空以外を数える,同値分割,"A1=1,A2=abc,A3は空",3,2,2,PASS
TC-B-009,関数(統計),COUNTBLANK は空セルを数える,境界値,"A1=1,A2,A3は空",0,2,2,PASS
TC-B-010,関数(統計),MAX 全空のとき0,境界値,A1:A3は空,0,0,0,PASS
TC-B-011,関数(統計),MEDIAN 偶数個は中央2値の平均,境界値,"A1:A4=1,2,3,4",#NUM!,2.5,2.5,PASS
TC-B-012,関数(統計),STDEV(標本標準偏差),正常系,"A1:A4=2,4,4,6",#DIV/0!,1.633,1.633,PASS
TC-B-013,関数(統計),STDEVP(母標準偏差),正常系,"A1:A4=2,4,4,6",#DIV/0!,1.4142,1.4142,PASS
TC-B-014,関数(統計),LARGE のn番目,正常系,"A1:A4=5,1,4,2",#NUM!,4,4,PASS
TC-B-015,関数(統計),RANK 降順の順位,正常系,"A1:A4=5,1,4,2",#N/A,2,2,PASS
TC-B-016,関数(条件集計),COUNTIF 比較演算子つき条件,正常系,"A1:A5=1,5,10,15,20",5,3,3,PASS
TC-B-017,関数(条件集計),COUNTIF ワイルドカード,正常系,"A1=apple,A2=apricot,A3=banana",0,2,2,PASS
TC-B-018,関数(条件集計),SUMIF 合計範囲を別指定,正常系,"A1:A3=x,y,x / B1:B3=1,2,3",0,4,4,PASS
TC-B-019,関数(条件集計),SUMIFS 複数条件のAND,デシジョンテーブル,"A=部署,B=月,C=金額",0,300,300,PASS
TC-B-020,関数(条件集計),COUNTIFS 複数条件のAND,デシジョンテーブル,"A=部署,B=月",0,2,2,PASS
TC-B-021,関数(条件集計),AVERAGEIF 条件つき平均,正常系,"A1:A3=x,y,x / B=10,99,20",#DIV/0!,15,15,PASS
TC-B-022,関数(論理),IF 真の分岐,デシジョンテーブル,A1=5,大,大,大,PASS
TC-B-023,関数(論理),IF 偽の分岐,デシジョンテーブル,A1=1,大,小,小,PASS
TC-B-024,関数(論理),IF 第3引数省略時はFALSE,境界値,A1=1,大,FALSE,FALSE,PASS
TC-B-025,関数(論理),AND/OR/NOT の組み合わせ,デシジョンテーブル,'-,TRUE,TRUE,TRUE,PASS
TC-B-026,関数(論理),XOR 排他的論理和,デシジョンテーブル,'-,FALSE,FALSE,FALSE,PASS
TC-B-027,関数(論理),IFS 最初に一致した条件を返す,デシジョンテーブル,A1=75,A,B,B,PASS
TC-B-028,関数(論理),IFERROR エラー時の代替値,異常系,'-,エラー,エラー,エラー,PASS
TC-B-029,関数(論理),IFERROR 正常時は元の値,正常系,'-,5,5,5,PASS
TC-B-030,関数(論理),IFNA は#N/Aのみ捕捉する,エラー推測,'-,#DIV/0!,#DIV/0!,#DIV/0!,PASS
TC-B-031,関数(検索),VLOOKUP 完全一致,正常系,A1:B3 に商品表,#N/A,200,200,PASS
TC-B-032,関数(検索),VLOOKUP 該当なしは#N/A,異常系,A1:B3 に商品表,#N/A,#N/A,#N/A,PASS
TC-B-033,関数(検索),VLOOKUP 近似一致(第4引数TRUE),境界値,"A=0,10,20 / B=低,中,高",#N/A,中,中,PASS
TC-B-034,関数(検索),VLOOKUP 列番号が範囲外は#REF!,異常系,A1:B3 に表,#REF!,#REF!,#REF!,PASS
TC-B-035,関数(検索),HLOOKUP 行方向の検索,正常系,A1:C2 に横持ちの表,#N/A,20,20,PASS
TC-B-036,関数(検索),INDEX 行列指定,正常系,A1:C3 に3x3,四則演算と優先順位,6,6,PASS
TC-B-037,関数(検索),MATCH 完全一致の位置,正常系,"A1:A3=x,y,z",#N/A,2,2,PASS
TC-B-038,関数(検索),INDEX+MATCH の組み合わせ,組み合わせ,"A=キー,B=値",#N/A,20,20,PASS
TC-B-039,関数(検索),CHOOSE の分岐,正常系,'-,b,b,b,PASS
TC-B-040,関数(検索),ROWS/COLUMNS で範囲サイズ,正常系,'-,4x3,4x3,4x3,PASS
TC-B-041,関数(文字列),LEFT は全角も1文字扱い,境界値,'-,あい,あい,あい,PASS
TC-B-042,関数(文字列),LEN 全角文字数,境界値,'-,3,3,3,PASS
TC-B-043,関数(文字列),MID の開始位置,正常系,'-,cd,cd,cd,PASS
TC-B-044,関数(文字列),MID 開始位置0は#VALUE!,異常系,'-,#VALUE!,#VALUE!,#VALUE!,PASS
TC-B-045,関数(文字列),FIND は大文字小文字を区別する,同値分割,'-,#VALUE!,#VALUE!,#VALUE!,PASS
TC-B-046,関数(文字列),SEARCH は区別しない,同値分割,'-,2,2,2,PASS
TC-B-047,関数(文字列),SUBSTITUTE の全置換,正常系,'-,a/b/c,a/b/c,a/b/c,PASS
TC-B-048,関数(文字列),REPLACE の位置指定置換,正常系,'-,aXef,aXef,aXef,PASS
TC-B-049,関数(文字列),TRIM 前後空白の除去,境界値,'-,a b|,a b|,a b|,PASS
TC-B-050,関数(文字列),TEXTJOIN 空セルの扱い(TRUE=無視),デシジョンテーブル,"A1=a,A2は空,A3=c",ケースID-TC-A-001-TC-A-002,a-c,a-c,PASS
TC-B-051,関数(文字列),EXACT は完全一致判定,同値分割,'-,FALSE,FALSE,FALSE,PASS
TC-B-052,関数(文字列),VALUE 文字列を数値化,正常系,'-,124,124,124,PASS
TC-B-053,関数(文字列),REPT の繰り返し,正常系,'-,ababab,ababab,ababab,PASS
TC-B-054,関数(数値),ROUND 四捨五入(正),境界値,'-,3,3,3,PASS
TC-B-055,関数(数値),ROUND 負数は絶対値で四捨五入,境界値,'-,-3,-3,-3,PASS
TC-B-056,関数(数値),ROUND 桁数指定,正常系,'-,1.23,1.23,1.23,PASS
TC-B-057,関数(数値),ROUND 桁数が負(100の位で丸め),境界値,'-,1200,1200,1200,PASS
TC-B-058,関数(数値),ROUNDUP 負数は絶対値で切り上げ,境界値,'-,-2,-2,-2,PASS
TC-B-059,関数(数値),ROUNDDOWN 負数は0方向へ切り捨て,境界値,'-,-1,-1,-1,PASS
TC-B-060,関数(数値),INT は負数で切り下げ,境界値,'-,-3,-3,-3,PASS
TC-B-061,関数(数値),TRUNC は0方向へ切り捨て,境界値,'-,-2,-2,-2,PASS
TC-B-062,関数(数値),MOD 除数が負のときの符号,境界値,'-,1,1,1,PASS
TC-B-063,関数(数値),MOD 除数0は#DIV/0!,異常系,'-,#DIV/0!,#DIV/0!,#DIV/0!,PASS
TC-B-064,関数(数値),CEILING 基準値の倍数へ切り上げ,正常系,'-,9,9,9,PASS
TC-B-065,関数(数値),FLOOR 基準値の倍数へ切り下げ,正常系,'-,6,6,6,PASS
TC-B-066,関数(数値),SQRT 負数は#NUM!,異常系,'-,#NUM!,#NUM!,#NUM!,PASS
TC-B-067,関数(数値),POWER と ^ の一致,正常系,'-,1024,1024,1024,PASS
TC-B-068,関数(数値),SUMPRODUCT 対応要素の積和,正常系,"A=1,2,3 / B=4,5,6",#VALUE!,32,32,PASS
TC-B-069,関数(数値),QUOTIENT 商の整数部,正常系,'-,3,3,3,PASS
TC-B-070,関数(情報),ISBLANK 空セル判定,境界値,A1は空,FALSE,TRUE,TRUE,PASS
TC-B-071,関数(情報),ISNUMBER 数値判定,同値分割,A1=abc,FALSE,FALSE,FALSE,PASS
TC-B-072,関数(情報),ISERROR エラー判定,異常系,'-,TRUE,TRUE,TRUE,PASS
TC-B-073,関数(日付),DATE から YEAR/MONTH/DAY の往復,正常系,'-,#NAME?,2026/08/23,2026/08/23,PASS
TC-B-074,関数(日付),DATE 月の繰り上がり(13月),境界値,'-,2027,2027,2027,PASS
TC-B-075,関数(日付),うるう年 2/29 の判定,境界値,'-,29,29,29,PASS
TC-B-076,関数(日付),DATEDIF 年数差,正常系,'-,6,6,6,PASS
TC-B-077,関数(日付),DATEDIF 日数差,正常系,'-,30,30,30,PASS
TC-B-078,関数(日付),EOMONTH 当月末(2月28日),境界値,'-,28,28,28,PASS
TC-B-079,関数(日付),EDATE 翌月同日(月末補正),境界値,'-,28,28,28,PASS
TC-B-080,関数(日付),WEEKDAY 日曜=1,境界値,2026/8/23は日曜,1,1,1,PASS
TC-B-081,関数(日付),DAYS 日数差,正常系,'-,28,28,28,PASS
TC-B-082,関数(日付),TIME の時刻シリアル値,正常系,'-,13:30,13:30,13:30,PASS
TC-B-083,関数(財務),PMT 毎月返済額,正常系,年利2%/120回/1000万,-92013,-92013,-92013,PASS
TC-B-084,関数(財務),FV 将来価値,正常系,年利1%/10年/毎年10万積立,1046221,1046221,1046221,PASS
TC-B-085,関数(財務),PV 現在価値,正常系,年利1%/10年/毎年10万受取,947130,947130,947130,PASS
TC-B-086,関数(文字列),TEXT 桁区切り書式,正常系,'-,"1,234,567","1,234,567","1,234,567",PASS
TC-B-087,関数(文字列),TEXT パーセント書式,正常系,'-,25.6%,25.60%,25.60%,PASS
TC-B-088,関数(文字列),TEXT 日付書式,正常系,'-,2026/08/05,2026/08/05,2026/08/05,PASS
TC-C-001,参照,相対参照の計算,正常系,A1=10,B1に =A1*2,20,20,PASS
TC-C-002,参照,絶対参照 $A$1 の解決,正常系,A1=10,B1に =$A$1*2,20,20,PASS
TC-C-003,参照,複合参照 $A1 / A$1 の解決,境界値,A1=10,B1に =$A1+A$1,20,20,PASS
TC-C-004,参照,範囲参照の合計,正常系,"A1:C1=1,2,3",0,6,6,PASS
TC-C-005,参照,逆順範囲 C1:A1 の正規化,エラー推測,"A1:C1=1,2,3",0,6,6,PASS
TC-C-006,参照,2段の間接参照(A→B→C),正常系,A1=5,"B1==A1*2, C1==B1+1",11,11,PASS
TC-C-007,参照,シート間参照,正常系,Sheet2!A1=7,Sheet1に =Sheet2!A1*3,21,21,PASS
TC-C-008,参照,空白入りシート名(クォート付き)参照,境界値,'売上 表'!A1=100,#REF!,101,101,PASS
TC-C-009,参照,存在しないシート参照は#REF!,異常系,Sheet9は存在しない,#REF!,#REF!,#REF!,PASS
TC-C-010,参照,シート間の範囲集計,正常系,"Sheet2!A1:A3=1,2,3",#REF!,6,6,PASS
TC-C-011,エラー処理,自己参照の循環検出,異常系,'-,A1に =A1+1,#CIRC!,#CIRC!,PASS
TC-C-012,エラー処理,2セル間の相互循環検出,異常系,'-,"A1==B1, B1==A1",#CIRC!,#CIRC!,PASS
TC-C-013,エラー処理,未定義関数は#NAME?,異常系,'-,#NAME?,#NAME?,#NAME?,PASS
TC-C-014,エラー処理,構文エラー(括弧不一致)でも落ちない,異常系,'-,#NAME?,エラー値を表示しアプリは継続,エラー値を表示しアプリは継続,PASS
TC-C-015,エラー処理,エラーの伝播(参照先がエラー),異常系,A1==1/0,B1に =A1+1,#DIV/0!,#DIV/0!,PASS
TC-C-016,エラー処理,引数不足の関数呼び出し,異常系,'-,#VALUE!,#VALUE!,#VALUE!,PASS
TC-C-017,エラー処理,大量ネストでもスタックが溢れない,負荷,'-,ABS()を100段ネスト,1,1,PASS
TC-C-018,エラー処理,長い連鎖参照(1000段)の再計算,負荷,A1=1,A2==A1+1 を1000行連鎖,1000,1000,PASS
TC-C-019,エラー処理,TRUE/FALSE を括弧なしで書ける,エラー推測,'-,y,y,y,PASS
TC-C-020,エラー処理,VLOOKUPの第4引数にFALSEを直接指定,エラー推測,A1:B2に表,#N/A,200,200,PASS
TC-D-001,行列操作,行挿入で下の値がずれる,正常系,"A1=1,A2=2",1行目に行を挿入,A2=1 / A3=2,A2=1 / A3=2,PASS
TC-D-002,行列操作,行挿入で数式の参照が追随する,正常系,"A1=1,A2=2,B1==SUM(A1:A2)",1行目に行を挿入,0,0,PASS
TC-D-003,行列操作,行挿入後も合計値が変わらない,正常系,"A1=1,A2=2,B1==SUM(A1:A2)",1行目に行を挿入し再計算,3,3,PASS
TC-D-004,行列操作,列挿入で数式の参照が追随する,正常系,"A1=1,B1=2,C1==SUM(A1:B1)",A列の前に列を挿入,0,0,PASS
TC-D-005,行列操作,参照先の行を削除すると#REF!,異常系,"A1=1,B5==A1*2",1行目を削除しB4を確認,#REF!,#REF!,PASS
TC-D-006,行列操作,範囲の途中行を削除すると範囲が縮む,正常系,"A1:A3=1,2,3 / B1==SUM(A1:A3)",2行目を削除,4,4,PASS
TC-D-007,行列操作,行挿入で結合セルが追随する,エラー推測,A1:B1を結合,1行目に行を挿入,r1=1,r1=1,PASS
TC-D-008,行列操作,絶対参照 $A$1 も行挿入で追随する,境界値,"A1=1,B1==$A$1",1行目に行を挿入,TC-A-001,TC-A-001,PASS
TC-D-009,行列操作,Undo(スナップショット復元)で元に戻る,状態遷移,A1=1,A1を99に変更→restoreで復元,1,1,PASS
TC-D-010,行列操作,Undo履歴の上限(60件)を超えても壊れない,境界値,'-,70件push後にundoStack長を確認,60,60,PASS
TC-D-011,行列操作,同名シートを含むファイルの読み込み時に名前が一意化される,エラー推測,同名シート2枚を含むJSON,fromJSONで読み込み、参照先を確認,一意化される,一意化される,PASS
TC-D-012,行列操作,シート削除後も他シートの参照が保たれる,状態遷移,Sheet2!A1=5 / Sheet3!A1==Sheet2!A1,Sheet3の値を確認,5,5,PASS
TC-E-001,入力解析,整数入力は数値になる,同値分割,'-,A1に 123 を入力,123,123,PASS
TC-E-002,入力解析,小数入力,同値分割,'-,A1に 1.25 を入力,1.25,1.25,PASS
TC-E-003,入力解析,マイナス値,同値分割,'-,A1に -5 を入力,-5,-5,PASS
TC-E-004,入力解析,パーセント入力は書式つき数値になる,正常系,'-,A1に 25% を入力,25.00%,25.00%,PASS
TC-E-005,入力解析,通貨入力(¥),正常系,'-,"A1に ¥1,000 を入力","¥1,000","¥1,000",PASS
TC-E-006,入力解析,桁区切り数値の入力,正常系,'-,"A1に 1,234 を入力","1,234","1,234",PASS
TC-E-007,入力解析,日付入力(yyyy/m/d),正常系,'-,A1に 2026/8/23 を入力,2026/08/23,2026/08/23,PASS
TC-E-008,入力解析,時刻入力(h:mm),正常系,'-,A1に 13:30 を入力,13:30,13:30,PASS
TC-E-009,入力解析,前ゼロつき数値はExcel同様に数値7になる,エラー推測,'-,A1に 007 を入力,7,7,PASS
TC-E-009b,入力解析,文字列書式(@)のセルなら前ゼロが保持される,エラー推測,A1の表示形式=文字列,A1に 007 を入力,7,7,PASS
TC-E-010,入力解析,電話番号形式は文字列として保持される,エラー推測,'-,A1に 090-1234-5678 を入力,090-1234-5678,090-1234-5678,PASS
TC-E-011,入力解析,TRUE入力は論理値になる,同値分割,'-,A1に TRUE を入力,TRUE,TRUE,PASS
TC-E-012,入力解析,空文字入力でセルが空になる,境界値,A1=5,A1に空文字を入力,空,空,PASS
TC-E-013,入力解析,数式バー表示が入力どおり戻る,状態遷移,'-,A1に =1+2 を入力し編集文字列を確認,3,3,PASS
TC-E-014,入力解析,日付セルの数式バー表示が日付形式に戻る,状態遷移,'-,A1に 2026/8/23 を入力し編集文字列を確認,2026/08/23,2026/08/23,PASS
TC-E-015,表示形式,桁区切り書式,正常系,'-,"1234567 に #,##0 を適用","1,234,567","1,234,567",PASS
TC-E-016,表示形式,小数2桁固定,正常系,'-,1.5 に 0.00 を適用,1.5,1.5,PASS
TC-E-017,表示形式,パーセント書式,正常系,'-,0.1234 に 0.0% を適用,12.30%,12.30%,PASS
TC-E-018,表示形式,通貨書式,正常系,'-,"1234 に ¥#,##0 を適用","¥1,234","¥1,234",PASS
TC-E-019,表示形式,負数の丸め表示(-0にならない),境界値,'-,'-0.4 に 0 を適用,0,0,PASS
TC-E-020,表示形式,0 の桁区切り表示,境界値,'-,"0 に #,##0 を適用",0,0,PASS
TC-E-021,表示形式,日付書式(yyyy/mm/dd),正常系,'-,シリアル値に yyyy/mm/dd を適用,2026/08/23,2026/08/23,PASS
TC-E-022,表示形式,文字列書式(@)は数値も文字扱い,同値分割,'-,123 に @ を適用,123,123,PASS
TC-E-023,表示形式,指数表記書式,正常系,'-,12345 に 0.00E+00 を適用,12300,12300,PASS
TC-E-024,表示形式,General は長い小数を丸めて表示,境界値,'-,1/3 を General 表示,0.333333333,0.3333333333,PASS
TC-E-025,表示形式,A1参照の列名変換(境界),境界値,'-,"0,25,26,701列目の列名","A,Z,AA,ZZ","A,Z,AA,ZZ",PASS
TC-E-026,表示形式,列名から列番号への逆変換,境界値,'-,"A,Z,AA,ZZ の列番号","0,25,26,701","0,25,26,701",PASS
TC-F-001,入出力,CSV出力の基本形,正常系,A1:B2に値,CSV文字列を生成,"a,1
b,2","a,1
b,2",PASS
TC-F-002,入出力,CSV出力でカンマを含む値が引用される,境界値,"A1=""a,b""",CSV文字列を生成,"""a,b""","""a,b""",PASS
TC-F-003,入出力,CSV出力で二重引用符がエスケープされる,境界値,"A1=a""b",CSV文字列を生成,"""a""""b""","""a""""b""",PASS
TC-F-004,入出力,CSV出力は数式の計算結果を書き出す,正常系,"A1=1,A2=2,A3==SUM(A1:A2)",CSV文字列を生成,最終行が3,最終行が3,PASS
TC-F-005,入出力,CSV読み込み(引用符・改行入り),境界値,'-,"""a,b"",2 をパース","a,b|2","a,b|2",PASS
TC-F-006,入出力,CSV読み込み(セル内改行),境界値,'-,"""a\nb"",2 をパース",1行2列,1行2列,PASS
TC-F-007,入出力,TSV読み込み,正常系,'-,タブ区切りをパース,a|b|c,a|b|c,PASS
TC-F-008,入出力,JSON往復で値が保たれる,正常系,"A1=1,B1=abc",toJSON→fromJSON,1/abc,1/abc,PASS
TC-F-009,入出力,JSON往復で数式が保たれる,正常系,C1==SUM(A1:B1),toJSON→fromJSON→再計算,0,0,PASS
TC-F-010,入出力,JSON往復で書式が保たれる,正常系,A1に太字と通貨書式,toJSON→fromJSON,"b=true nf=¥#,##0","b=true nf=¥#,##0",PASS
TC-F-011,入出力,JSON往復でシート構成が保たれる,正常系,3シート,toJSON→fromJSON,"3/Sheet1,売上,経費","3/Sheet1,売上,経費",PASS
TC-F-012,入出力,xlsx出力がZIP形式(PKヘッダ)である,正常系,A1=1,exportXlsxのバイト列先頭を確認,PK,PK,PASS
TC-F-013,入出力,xlsx内にセル値が書き出される,正常系,A1=123,sheet1.xmlを検査,123を含む,123を含む,PASS
TC-F-014,入出力,xlsxに数式が数式のまま出力される,正常系,C1==SUM(A1:B1),sheet1.xmlの<f>要素を確認,SUM(A1:B1),SUM(A1:B1),PASS
TC-F-015,入出力,xlsx出力でXML特殊文字がエスケープされる,境界値,A1=<a&b>,sharedStrings/sheetを検査,エスケープ済み,エスケープ済み,PASS
TC-F-016,入出力,xlsx出力に全シートが含まれる,正常系,3シート,sheetN.xmlの数を確認,3,3,PASS
TC-F-017,入出力,xlsxのZIP自己往復(生成→展開),正常系,'-,zipCreate→zipReadで内容一致,一致,一致,PASS
TC-F-018,入出力,HTML出力にテーブルが生成される,正常系,A1=a,sheetToHtmlを実行,tableを含む,tableを含む,PASS
TC-F-019,入出力,HTML出力でスクリプトが混入しない(XSS),セキュリティ,A1=<script>alert(1)</script>,sheetToHtmlを実行,エスケープ済み,エスケープ済み,PASS
TC-F-020,入出力,CSV出力で先頭が=の文字列(CSVインジェクション),セキュリティ,A1に文字列 =cmd,CSV出力の該当セルを確認,無害化されている,無害化されている,PASS
TC-G-001,性能,1万セル入力の処理時間,負荷,'-,100x100に数値を入力,3000ms以内,3000ms以内(9ms),PASS
TC-G-002,性能,1万件の数式再計算時間,負荷,A列に1万件の数値,B列に=A*2を1万件置き再計算,5000ms以内,"5000ms以内(1436ms,末尾値OK)",PASS
TC-G-003,性能,1万件SUMの集計時間,負荷,A1:A10000に数値,0,2000ms以内,"2000ms以内(6ms,値10000)",PASS
TC-G-004,性能,5000行のCSV出力時間,負荷,5000x10のデータ,CSV生成,3000ms以内,"3000ms以内(54ms,5000行)",PASS
TC-G-005,性能,大きなブックのxlsx書き出し時間,負荷,2000x10のデータ,exportXlsx,10000ms以内,"10000ms以内(45ms,69KB)",PASS
TC-H-001,関数(条件集計),COUNTIFの条件をセル参照で組み立てる,組み合わせ,"A1:A4=1,5,10,20 / C1=5",0,2,2,PASS
TC-H-002,関数(条件集計),COUNTIFの条件が完全一致(文字列),同値分割,"A1:A3=x,X,y",0,2,2,PASS
TC-H-003,関数(条件集計),COUNTIFのワイルドカード(?は1文字),境界値,"A1=ab,A2=abc",0,1,1,PASS
TC-H-004,関数(条件集計),SUMIFS 条件範囲と合計範囲のサイズ不一致,異常系,C1:C2 と A1:A4,#VALUE!,#VALUE!,#VALUE!,PASS
TC-H-005,関数(条件集計),SUMIF 空条件は0件扱い,境界値,"A1:A2=1,2",0,0,0,PASS
TC-H-006,関数(検索),VLOOKUP 近似一致で検索値が最小値未満,境界値,"A=10,20 / B=中,高",#N/A,#N/A,#N/A,PASS
TC-H-007,関数(検索),VLOOKUP 近似一致で検索値が最大値超,境界値,"A=10,20",#N/A,高,高,PASS
TC-H-008,関数(検索),VLOOKUP 第4引数省略時は近似一致,エラー推測,"A=10,20",#N/A,中,中,PASS
TC-H-009,関数(検索),MATCH 一致モード1(以下の最大値),境界値,"A1:A3=10,20,30",#N/A,2,2,PASS
TC-H-010,関数(検索),MATCH 一致モード-1(降順で以上の最小値),境界値,"A1:A3=30,20,10",3,1,1,PASS
TC-H-011,関数(検索),MATCH 見つからない場合は#N/A,異常系,"A1:A3=x,y,z",#N/A,#N/A,#N/A,PASS
TC-H-012,関数(検索),INDEX 範囲外指定は#REF!,異常系,A1:B2,#REF!,#REF!,#REF!,PASS
TC-H-013,関数(検索),CHOOSE 範囲外の番号は#VALUE!,異常系,'-,#VALUE!,#VALUE!,#VALUE!,PASS
TC-H-014,関数(文字列),LEFT 文字数が負なら#VALUE!,異常系,'-,#VALUE!,#VALUE!,#VALUE!,PASS
TC-H-015,関数(文字列),LEFT 文字数が文字列長超なら全体,境界値,'-,abc,abc,abc,PASS
TC-H-016,関数(文字列),FIND 開始位置つき検索,境界値,'-,4,4,4,PASS
TC-H-017,関数(文字列),SUBSTITUTE 出現回数指定,境界値,'-,a-a+a,a-a+a,a-a+a,PASS
TC-H-018,関数(文字列),空セルのLENは0,境界値,A1は空,5,0,0,PASS
TC-H-019,関数(文字列),CONCATは範囲を連結できる,正常系,"A1:A3=a,b,c",ケースIDTC-A-001TC-A-002,abc,abc,PASS
TC-H-020,関数(文字列),CODE/CHAR の往復,正常系,'-,A,A,A,PASS
TC-H-021,関数(文字列),TEXT 和暦風フォーマット(yyyy年m月d日),正常系,'-,2026年8月5日,2026年8月5日,2026年8月5日,PASS
TC-H-022,関数(文字列),TEXT 時刻フォーマット,正常系,'-,09:05,09:05,09:05,PASS
TC-H-023,関数(数値),MOD 小数の剰余,境界値,'-,1.5,1.5,1.5,PASS
TC-H-024,関数(数値),POWER 負数の分数乗は#NUM!,異常系,'-,#NUM!,#NUM!,#NUM!,PASS
TC-H-025,関数(数値),LOG 底の指定,正常系,'-,3,3,3,PASS
TC-H-026,関数(数値),SIGN の符号判定,同値分割,'-,'-101,-101,-101,PASS
TC-H-027,関数(数値),RANDBETWEEN が範囲内に収まる,境界値,'-,#NAME?,すべて範囲内,すべて範囲内,PASS
TC-H-028,関数(数値),12桁以上の整数はExcel同様に指数表記になる(仮数部の桁数も一致),境界値,'-,1E+12,1E+12,1E+12,PASS
TC-H-029,関数(数値),小さな小数の合計精度,境界値,A1:A3=0.1,0,0.3,0.3,PASS
TC-H-030,関数(日付),DATEDIF 終了日が開始日より前は#NUM!,異常系,'-,#NUM!,#NUM!,#NUM!,PASS
TC-H-031,関数(日付),EOMONTH 過去方向(-1か月),境界値,'-,28,28,28,PASS
TC-H-032,関数(日付),EDATE 過去方向でも月末補正される,境界値,'-,28,28,28,PASS
TC-H-033,関数(日付),WEEKDAY 種類2(月曜=1),境界値,2026/8/23は日曜,7,7,7,PASS
TC-H-034,関数(日付),日付シリアルの起点(1900/1/1=1),境界値,'-,2,1,2,FAIL
TC-H-035,関数(日付),時刻の境界(23:59:59),境界値,'-,23:59:59,23:59:59,23:59:59,PASS
TC-H-036,関数(日付),DATE 0日指定は前月末,境界値,'-,28,28,28,PASS
TC-H-037,関数(統計),LARGE の順位が件数超なら#NUM!,異常系,"A1:A2=1,2",#NUM!,#NUM!,#NUM!,PASS
TC-H-038,関数(統計),MEDIAN 奇数個は中央値,境界値,"A1:A3=1,100,2",#NUM!,2,2,PASS
TC-H-039,関数(統計),STDEV 1件のみは#DIV/0!,異常系,A1=5,#DIV/0!,#DIV/0!,#DIV/0!,PASS
TC-H-040,関数(統計),VAR/VARP の関係(VAR>VARP),正常系,"A1:A4=2,4,4,6",#DIV/0!,OK,OK,PASS
TC-H-041,関数(情報),NA()と#N/Aの一致,正常系,'-,TRUE,TRUE,TRUE,PASS
TC-H-042,関数(情報),ISODD/ISEVEN の負数,境界値,'-,TRUE/TRUE,TRUE/TRUE,TRUE/TRUE,PASS
TC-H-043,関数(情報),ISTEXT は数値でFALSE,同値分割,A1=1,TRUE,FALSE,FALSE,PASS
TC-H-044,数式エンジン,数値と数値文字列は等しくない(Excel仕様),エラー推測,'-,FALSE,FALSE,FALSE,PASS
